1,샤브20,장성동,한식,0,0
2,연꾸닭,양덕,한식,0,0
3,곤지곤지,장성동,한식,0,0
4,교동면옥,양덕 법원,한식,0,0
5,해원,양덕,한식,0,0
6,맛찬들,영일대,한식,0,0
7,흑돈,양덕,한식,0,0
8,마장동뒷고기,양덕,한식,0,0
9,해적,영일대,한식,0,0
10,용강국밥,양덕,한식,0,0
11,할매국밥,양덕,한식,0,0
12,육대장,양덕,한식,0,0
13,가장 맛있는 족발,양덕,한식,0,0
14,화담면옥,양덕 E1,한식,0,0
15,하찌밥상,양덕 법원,한식,0,0
16,백두산 양꼬치,양덕,중식,0,0
17,대궐(현재 광둥),양덕 세차장,중식,0,0
18,호원,양덕,중식,0,0
19,쓰촨,양덕 법원,중식,0,0
20,라쿵푸마라탕,양덕,중식,0,0
21,두꺼비객잔,영일대,중식,0,0
22,온센텐동,영일대,일식,0,0
23,아오리의행방불명,육거리,일식,0,0
24,라멘베라보,양덕,일식,0,0
25,라멘구루마,양덕 법원,일식,0,0
26,스프커리보울,양덕,일식,0,0
27,오또상스테키,양덕 세차장,일식,0,0
28,바른김밥,양덕,일식,0,0
29,가정초밥,포항공대,일식,0,0
30,양덕동초밥집,양덕 법원,일식,0,0
31,쿡피쉬,양덕,일식,0,0
32,왕돌잠,창포동,일식,0,0
33,스시요시,양덕,일식,0,0
34,쿠라 다이닝,양덕,일식,0,0
35,배고픈은태,양덕,양식,0,0
36,쿠킹빌리지,양덕,양식,0,0
37,다온경양식,양덕 세차장,양식,0,0
38,유난,양덕 법원,양식,0,0
39,슈퍼노멀,양덕 법원,양식,0,0
40,화목정,양덕 세차장,양식,0,0
41,오또상스테끼,양덕 세차장,양식,0,0
42,뜨돈,양덕 법원,양식,0,0
43,셰프더그릴,양덕,양식,0,0
44,포메인,양덕,아시안,0,0
45,홍연자명품김밥,양덕,분식,0,0
46,으뜸이네,양덕,분식,0,0
47,태산만두,양덕,분식,0,0
48,커피유야,양덕,카페,0,0
49,GOVASON,양덕 세차장,카페,0,0
50,열두달 봄,양덕,카페,0,0
51,몽불,배달,한식,0,0
52,삼촌네 찜닭,배달,한식,0,0
53,족막,배달,한식,0,0
54,웰빙 김치찜닭,배달,한식,0,0
55,팜발,배달,야식,0,0
56,덮덮밥,배달,한식,0,0
57,대왕비빔밥,배달,한식,0,0
58,신세계 닭발,배달,야식,0,0
59,슈닭,배달,야식,0,0
60,땅땅치킨,배달,야식,0,0
61,온족발,배달,한식,0,0
62,피자나라 치킨 공주,배달,야식,0,0
63,바벤,배달,한식,0,0
64,김치 피자 탕수육,배달,중식,0,0
65,감성족발,배달,한식,0,0
66,처갓집,배달,야식,0,0
67,쫄면 주는 삼겹 본능,배달,한식,0,0
68,두마리 찜닭,배달,한식,0,0
69,푸라닭,배달,야식,0,0
70,돈도니,배달,한식,0,0
71,우공피쉬,배달,일식,0,0
72,태화강,배달,한식,0,0
73,청년다방,양덕 법원,분식,0,0
74,황금통닭,양덕 법원,야식,0,0
75,맛나 감자탕,양덕 법원,한식,0,0
76,새벽에 먹는 청진동,양덕 법원,한식,0,0
77,쿠킹빌리지,양덕 법원,양식,0,0
78,마장동 뒷고기,양덕 법원,한식,0,0
79,명륜진사갈비,양덕 법원,한식,0,0
80,쌀통닭,양덕 법원,야식,0,0
81,양꼬치,양덕 법원,중식,0,0
82,두남자 찜닭,양덕 법원,한식,0,0
83,쿡피쉬,양덕 법원,일식,0,0
84,이유있는 갈비찜,양덕 법원,한식,0,0
85,119 무한리필,양덕 법원,한식,0,0
86,갈비 1번가,양덕 법원,한식,0,0
87,필리스펍,양덕 법원,양식,0,0
88,컴포터블피자,양덕 법원,양식,0,0
89,뚝배기 이탈리아,영일대,양식,0,0
90,역전할맥,영일대,양식,0,0
91,카페유야,양덕,카페,0,0
92,헤이안,양덕,카페,0,0
93,팜테이블,양덕,카페,0,0
94,연남동 카페,양덕,카페,0,0
95,그냥 커피 주세요,양덕,카페,0,0
96,그레그 커피,양덕,카페,0,0
97,플랜트플래닛,양덕,카페,0,0
98,moon café,양덕,카페,0,0
99,레드립스,양덕,카페,0,0
100,논스탠다드,양덕,카페,0,0
101,스윗스텝,양덕,카페,0,0
102,우즈,양덕,카페,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
